"","RERFGC1B_STOMACH","HS746T_STOMACH","LMSU_STOMACH","ECC10_STOMACH","TGBC11TKB_STOMACH","SNU520_STOMACH","GSS_STOMACH","SNU620_STOMACH","ECC12_STOMACH","GSU_STOMACH","FU97_STOMACH","GCIY_STOMACH","SH10TC_STOMACH","MKN1_STOMACH","MKN74_STOMACH","KE39_STOMACH","HGC27_STOMACH","HUG1N_STOMACH","NUGC4_STOMACH","SNU16_STOMACH","NCIN87_STOMACH","OCUM1_STOMACH","SNU5_STOMACH","SNU601_STOMACH","SNU668_STOMACH","NCCSTCK140_STOMACH","SNU719_STOMACH","SNU216_STOMACH","NUGC2_STOMACH","SNU1_STOMACH","AGS_STOMACH","KATOIII_STOMACH","NUGC3_STOMACH","IM95_STOMACH","MKN7_STOMACH","MKN45_STOMACH"
"UPP1",1489,10004,3605,614,434,10507,2708,2877,125,1052,2542,417,5537,3824,44726,1748,108,3121,1617,3744,1673,1596,24865,1723,15923,4882,4764,7640,12386,1766,855,2666,5401,3301,10097,4144
"UPRT",758,2553,2167,1885,1168,2031,365,3683,1734,1413,997,611,656,1555,189,4067,1135,332,1001,1326,2213,812,2130,1213,1625,1613,1078,915,712,2130,2131,1488,2028,1270,1011,1906
"UQCC1",9242,14084,7053,7133,6634,2793,7261,8194,6790,3123,10858,5716,6879,13829,8630,9228,7522,3552,3857,6481,6163,6434,7877,6624,8976,11033,3713,11233,7056,15868,8303,2052,3016,6667,11793,6650
"UQCC2",4807,5709,4275,4885,1630,2130,2011,3574,6373,1326,4404,449,1643,1798,2427,3089,5052,8182,881,3169,3750,3064,3405,4789,2931,3698,965,3521,4816,6343,3144,2317,5594,3644,2554,5726
"UQCR10",4140,3876,3705,2941,2884,8658,3315,9136,13697,3536,6318,419,7055,2690,5406,10840,8801,7946,3856,5806,13288,5742,8969,8225,5693,8523,3205,5820,8710,8194,5918,6940,5887,8677,5539,3630
"UQCR11",8963,6417,4292,10452,4186,12342,4743,12648,11114,6975,5161,1109,5175,7707,3291,9410,14249,15623,5812,8393,10405,13285,19191,11164,7379,10179,4705,8377,12663,14662,8059,3799,6395,14767,4451,12921
"UQCRB",17843,20676,21248,27955,10822,28142,15246,38538,42845,15235,8693,1848,22501,19864,24290,27771,24910,44874,12455,14078,66531,20627,23159,16847,18149,32590,10753,41300,8942,28333,15356,10091,19989,30718,10762,22809
"UQCRC1",27549,22809,21010,22650,17220,32522,9949,34955,29632,27552,29791,5864,20618,26435,14929,32849,26877,27089,27282,26592,25318,23705,28186,40698,27253,45678,16957,23513,31256,40364,32260,18938,20010,43049,18937,41071
"UQCRC2",25461,19001,10295,11890,28609,32998,21461,43663,16630,34608,41006,23148,19014,20914,16438,54992,36429,43253,38286,25223,61449,33808,34265,39962,22914,31353,32562,24934,30799,43935,32443,39433,20684,36884,25142,53241
"UQCRFS1",15896,8679,7391,8373,7140,12421,11712,12723,14706,8166,19261,6842,11545,19189,14327,10745,26143,8384,7726,10034,38053,7770,16633,26286,20630,20577,13369,9727,11886,20507,23014,10649,8225,10549,26302,16500
