"","RERFGC1B_STOMACH","HS746T_STOMACH","LMSU_STOMACH","ECC10_STOMACH","TGBC11TKB_STOMACH","SNU520_STOMACH","GSS_STOMACH","SNU620_STOMACH","ECC12_STOMACH","GSU_STOMACH","FU97_STOMACH","GCIY_STOMACH","SH10TC_STOMACH","MKN1_STOMACH","MKN74_STOMACH","KE39_STOMACH","HGC27_STOMACH","HUG1N_STOMACH","NUGC4_STOMACH","SNU16_STOMACH","NCIN87_STOMACH","OCUM1_STOMACH","SNU5_STOMACH","SNU601_STOMACH","SNU668_STOMACH","NCCSTCK140_STOMACH","SNU719_STOMACH","SNU216_STOMACH","NUGC2_STOMACH","SNU1_STOMACH","AGS_STOMACH","KATOIII_STOMACH","NUGC3_STOMACH","IM95_STOMACH","MKN7_STOMACH","MKN45_STOMACH"
"MFN2",32481,29991,22257,14731,13844,12927,17578,23150,32392,14417,65112,32423,24380,30969,29253,19991,31722,35793,11769,26810,25400,12191,34490,28197,15536,24378,12775,17790,21685,38991,24444,19048,12912,25188,14370,23403
"MFNG",94,35,53,70,48,4834,84,97,8590,98,45,337,604,387,365,86,40,117,574,400,1606,279,774,333,337,45,230,135,1158,14,205,5829,30,188,276,910
"MFSD1",4095,23212,10213,2877,3099,17215,3685,1833,10385,9978,7032,4366,4341,7671,6416,4235,2427,8854,4762,3001,11565,3749,11913,10411,6090,10269,5838,12945,4734,6577,5276,7896,3624,6595,3010,6453
"MFSD10",5035,5585,5277,7173,2817,9696,7844,10672,8122,17089,4292,5340,8282,15626,7522,7877,6265,9233,5807,5704,15204,8326,13982,10552,8665,6307,5477,16618,10719,14645,12521,6816,14454,14165,6490,3533
"MFSD11",3534,10191,2079,3688,1182,7332,2721,3666,5119,3649,2975,1685,2149,2098,5102,4322,3304,2518,3088,3516,3665,1415,5510,4200,1930,4875,4927,4656,3564,1968,4873,4634,1350,2355,2244,2985
"MFSD12",3521,8891,7067,2292,2521,5226,3354,5605,5858,2966,3260,4490,4121,7493,9752,3816,5068,3097,1958,4618,6452,5848,5872,5098,8417,4472,2173,4320,4043,6683,7541,4098,3813,6495,2431,5264
"MFSD2A",115,3449,956,4906,622,1365,468,1986,137,988,1799,243,1877,854,887,26307,1247,2683,533,3108,2480,150,397,1773,414,418,1343,94,1028,5545,2737,2312,310,2666,499,1291
"MFSD2B",24,39,2,33,3,3,8,15,54,0,47,9,21,44,114,23,7,14,1,8,13,6,2,15,17,32,23,10,23,21,13,5,7,3,8,0
"MFSD3",3284,5198,2034,11235,2573,6267,3370,5776,3533,4666,1588,969,2371,3612,3100,4649,2326,3164,2424,2049,8781,8683,10796,6339,8796,4732,1912,10139,3333,1389,1975,1919,2548,9758,4331,1620
"MFSD5",4408,3209,3177,1766,1529,4575,3081,3489,8243,3083,4949,2016,3297,5717,2390,3506,6489,5120,3079,3187,9984,3111,3829,4450,4425,6508,2625,5187,6458,3710,6924,3317,2748,2553,1451,3319
"MFSD6",1107,1206,757,8877,3936,15168,8992,13533,10709,3673,2229,351,277,11387,13752,8920,2584,10676,5434,11801,16136,5944,3747,9369,10413,2776,7727,7111,7547,16598,8364,9511,6364,13795,2445,4670
"MFSD6L",69,1,0,2,5,180,3,1,1,21,6,8,0,0,1033,0,5,0,4,3,1,1,0,354,0,26,0,1,24,0,2,196,0,548,57,272
"MFSD8",3024,2512,1929,1496,2090,2129,1836,3188,2451,1439,5161,1719,976,1950,2820,2290,1265,1524,1473,2034,5355,2090,2582,3267,2146,3792,1602,3237,838,2866,3796,1420,2709,1813,3193,1926
"MFSD9",2691,1087,1380,5680,2651,9103,4740,7383,5767,4871,2022,2710,1748,3154,4018,4126,2090,3979,3472,4359,8520,4464,4289,4732,3104,4403,3654,4014,2575,2250,8013,2460,1496,8098,1016,6936
"MGA",10649,7324,6816,16224,5598,14384,11536,7296,18760,6454,10160,20200,4406,10752,33735,5961,11602,10044,5198,9524,20576,7228,7938,6299,11323,12469,40,10350,6669,51,9950,2175,3686,5838,4563,7552
"MGAM",27,422,50,32,8,271,9,236,26449,53,94,18,2,4013,49,60,1,138,22,58,43,21,648,43,5,63,56,205,85,351,34,182,21,61,134,33
"MGARP",38,24,28,8,5,9,5,10,61,2,40,23,6,15,18,1,5,4,7,2,24,5,34,16,30,36,12,112,15,6,10,17,11,6,5,7
"MGAT1",19386,13621,10860,10012,5376,19687,23309,9861,14620,9582,24216,9988,13569,26463,31182,13676,11236,31121,12428,6114,20667,8624,28082,16357,17450,35412,7571,14964,30006,16154,18740,13056,6414,10462,12284,11202
"MGAT2",329,420,449,233,83,412,339,304,1113,680,257,169,922,352,314,305,525,148,317,236,398,277,309,220,371,299,171,526,328,649,300,95,160,471,526,373
"MGAT3",12539,51,33,56,169,2980,3106,1634,251,2894,8136,3614,5560,3508,215,201,694,6112,4954,2510,8974,3175,97,3070,54,26227,1157,252,459,42,3748,668,14,662,421,942
"MGAT4A",2923,86,21,3945,3265,8642,857,890,57938,897,10499,1829,15,4099,9545,7,238,7225,209,10419,1591,978,4204,2285,3568,2208,4783,12354,1829,2305,5973,1803,1997,4264,1921,2557
"MGAT4B",16077,22341,12411,14828,31464,39073,24553,49799,27777,37746,23294,13537,16336,32219,15671,41083,9709,77837,38965,16729,37972,28098,100732,43629,31782,17826,31405,48254,40426,15800,29596,28027,11934,35372,12957,28390
"MGAT4C",39,4,4,0,1,4,0,0,101,0,0,100,0,0,2,0,0,0,2,0,2,0,0,0,10,684,0,9,2,0,0,2,2,0,6,0
"MGAT5",5470,10867,8089,16207,10961,36479,12332,18765,7736,17358,17354,12720,24769,11667,5894,34783,10879,34644,21252,8688,100712,15887,7320,28428,6396,10706,36881,5635,8856,30632,16276,16534,12304,10985,4869,17134
"MGAT5B",1325,3117,3251,4492,51,14,1504,31,61,12,14,173,5680,577,3372,12,69,23,247,8,368,29,30,49,8356,1879,23,903,3406,637,64,28,570,11,2868,151
"MGLL",1086,30860,15597,11209,531,116,119,22548,70,36656,36,12530,107,13863,16363,81,583,17165,14333,22163,17078,1880,59,6892,3323,11592,11585,1899,24707,39,8021,12074,4081,10069,6901,2694
"MGME1",4616,4535,3549,6743,1638,4944,6929,5836,4031,2989,7077,3139,4370,5147,6427,7655,6183,6985,3083,4788,15025,4096,5955,4126,6455,11237,3267,11914,7904,9904,10126,7708,7547,3842,7593,2883
"MGMT",3530,11,27,2004,34,3017,13,2,3318,594,4432,434,815,1654,1950,2275,1743,11,1405,2031,2792,2123,1926,2677,6403,375,1393,2021,24,3645,4751,721,1931,3683,695,3787
"MGP",24,10,5,17,19,8,5,7,50,3,0,28,64,127,5,10,87,7,9,13,84,21,7,4,975,24,7,665,257,13,8,14,86,37,22,0
"MGRN1",11456,4710,4123,8103,4078,14700,14165,11153,17514,6385,11541,15254,5878,8311,13424,6172,6904,14098,10427,6097,15396,13523,13132,11409,15860,17383,11784,11425,10624,12795,14684,8033,2090,10363,4216,5523
"MGST1",5774,39368,103,47,22857,10046,6172,15078,16448,13492,3380,3510,42170,5811,46,10918,2258,15147,29287,15711,45331,15757,27790,14679,19124,6070,13226,15116,45029,9634,10321,19685,6730,45447,10532,36915
"MGST2",577,1236,276,1337,473,9021,666,8972,3490,5451,2391,324,1053,2066,8,6454,2349,3867,3327,4510,12833,5186,8213,6296,638,2331,8861,3786,3731,2659,5099,2438,1378,4972,1370,5355
"MGST3",8311,6854,5966,4407,1450,26657,4526,15163,2602,10819,15238,1273,4924,3839,4168,4274,2848,17623,4252,15569,13234,7631,8542,11489,8241,5227,7459,5947,16351,31,14711,6196,5738,10238,3392,11251
"MIA",27,5,4,7,552,13562,16,20,11,59,29,39,241,6,154,134,0,122,2336,28,8803,961,16,1036,16,41,22,2634,21,4,68,1365,104,410,42,283
"MIA2",524,381,17,8,1,14,4,323,104,2286,1460,1880,12,51,2,909,0,521,2,612,62,332,2887,305,59,24,366,86,10,1,1117,30,19,1097,110,1433
"MIA3",5587,16128,7923,11001,8380,26310,9189,15280,11504,9904,25524,13334,6908,9006,11817,5351,15392,17861,3851,10051,11633,5056,7527,8506,9549,9806,15230,7940,9082,10505,28082,5742,11606,9413,6806,6449
"MIAT",375,279,58,41963,99,50,9,154,19141,35,119,60,69,533,291,20,94,3,20,178,172,73,98,68,55,262,48,131,336,94,179,85,127,135,126,259
"MIB1",18550,22160,7807,21468,9221,11015,18383,9208,30595,6009,15179,26145,7923,19358,11724,8142,14397,80164,11261,12072,21415,7609,15529,10285,10331,67663,10105,17213,7781,11320,16390,9247,6226,8008,8879,12706
"MIB2",10065,3813,4128,6306,3308,9138,3795,6922,6159,5285,3040,1778,1571,6290,3333,2406,3481,9088,1885,6806,5764,5274,3587,6770,5284,5744,4499,4865,5204,4511,2180,2184,3150,8298,2912,3622
"MICA",3002,4498,4063,205,638,8803,290,2601,33,228,5377,1164,4871,6608,3905,2468,582,6248,1894,2992,5079,1795,4159,9570,2888,3479,1250,3642,5295,5790,5386,10922,6810,4963,2517,3808
"MICAL1",1895,6689,3639,15031,1270,7318,5379,5428,19484,7172,904,1175,6716,2516,4069,1410,1668,4506,2850,4997,5725,3351,4850,4126,3046,5840,9297,5022,2125,254,6688,2954,3601,3666,783,775
"MICAL2",6559,23048,38632,2681,1936,5208,28720,7128,91,8558,2451,5468,18317,13392,5267,1782,96,4768,1474,4318,5277,10143,17812,11194,361,582,7275,6709,3704,35035,41521,6939,6424,4000,17233,4734
"MICAL3",12660,39004,9402,8140,7269,13333,7022,14498,16330,6769,8780,27139,11904,7235,24657,11907,15886,8309,5028,11792,30038,9546,18036,12116,7115,25206,7485,7546,14443,18236,25974,11268,4425,11390,4346,5751
"MICALL1",17767,11648,8479,4484,2396,6275,10183,4751,4364,3254,4915,6213,11920,7674,13820,3942,5703,3428,5760,4554,9389,5907,3407,4787,3800,25928,3339,9775,34177,6475,15700,3333,4010,4453,6394,2350
"MICALL2",2075,4849,893,2651,1064,21802,1416,7309,384,8721,2134,2830,6664,3659,457,3002,1764,23609,10412,7190,7660,2453,9907,9058,6071,1643,2688,3212,4135,1187,3738,5304,940,7704,665,1726
"MICB",157,4925,3040,196,3555,89,180,2432,42,20,11201,1394,3026,4817,1275,649,2110,3749,19,1214,71,765,4997,6811,53,993,782,761,2756,1888,6612,78,8076,2324,3862,884
"MICU1",5102,19938,9950,7400,4172,6120,9684,14441,13690,10822,9589,8654,5652,6361,8032,4406,7069,12957,5042,7959,8627,7082,9612,10066,12352,4337,6216,14194,9013,11178,9342,7965,4101,11791,3975,13579
"MICU2",3444,4839,3523,2177,3764,4374,6845,7191,1815,2917,5876,2256,3217,6910,4874,10336,7171,3792,3097,4937,12076,11084,4929,5671,4098,13157,4903,4575,4271,8424,11129,8759,8494,6934,3762,5995
"MICU3",951,223,446,3,8,1,6769,3,1977,3,0,613,3,2,2,106,0,2,0,0,5,5,2,8,789,20,2,10,128,3,1229,0,4,1,2,3
"MID1",7945,16232,3635,7637,1360,53,2298,11110,3377,2790,3107,14808,52,3544,11300,7134,1554,3321,587,3123,13335,4434,67,4822,445,35984,1432,10848,10316,542,9477,9128,3990,2673,10023,3083
"MID1IP1",1942,8350,8284,46,10329,22826,20114,15238,32161,12844,45449,4564,2009,7136,489,5789,9634,6886,6979,15142,23384,4788,5482,7613,11534,3462,6136,7285,12618,1806,5542,9905,3715,14871,819,14892
"MID1IP1-AS1",50,78,124,1,61,151,139,72,194,71,102,28,3,35,0,27,116,106,34,43,147,25,68,35,72,30,33,75,37,56,43,56,22,103,15,93
"MID2",1090,2379,801,29,4,14,2314,10,12,2,932,168,547,1441,0,2,16,99,45,705,1143,11,449,12,2688,2428,841,127,1729,2,2,1,2359,2,664,503
"MIDN",8229,7416,4717,24846,6795,14215,7095,7911,8019,9262,7243,8086,5476,11693,4514,6468,8344,15166,13716,10092,9526,8509,7889,7681,11033,39465,8729,9418,12760,1754,17251,3791,2750,9256,2665,10483
"MIEF1",9538,9160,6877,6590,5838,15006,20351,15564,17906,10173,22384,11314,10565,13001,12014,15275,18388,14024,8064,14815,25887,10535,16464,11075,9707,20976,8164,7553,13772,19236,16365,10942,5904,13451,4558,7506
"MIEF2",2437,3207,887,1775,585,1187,1000,983,853,662,548,928,520,1909,5119,1522,941,1199,964,557,2304,635,1350,3047,820,7771,1090,4795,4719,1555,3418,1156,2517,1401,4196,1133
"MIEN1",1920,1509,503,2525,1363,2918,1031,4113,1954,2164,1656,584,1600,3000,1824,3626,1797,2680,3408,2003,147709,2313,6268,2464,5400,3265,959,10089,4018,2678,1566,3273,1618,2273,9515,2138
"MIER1",3385,13888,5458,3893,6050,9856,4845,5032,8344,4032,2917,7122,3895,6651,12141,5650,9238,3932,3185,5604,14214,6450,4771,4374,3314,5641,3300,7887,2983,8537,10389,3927,4440,6872,3963,5769
"MIER2",3967,4086,1445,5366,1441,3209,4038,3118,2842,2013,2595,1535,2114,3228,2146,2873,3961,2311,1514,4087,2782,2949,2165,2852,3382,6350,2142,1842,3933,4251,4326,1164,1294,2091,959,3317
"MIER3",1958,4966,2169,1945,3657,3867,4125,5573,6824,3116,4614,1719,2684,6547,9818,4792,4601,5904,3282,3167,9043,4241,6349,4272,4581,3712,3250,2952,3279,8060,10486,5866,3989,7277,1938,9033
"MIF",32,46,12,150,34,108,74,142,335,113,46,79,28,87,76,54,52,95,112,262,419,110,43,86,50,66,135,70,91,184,97,32,36,239,29,45
"MIF4GD",1244,1154,872,3449,1463,2034,1861,5287,4818,2639,1709,345,1055,2092,4612,4317,1476,1264,4538,3376,4869,2653,5807,2574,6243,1696,4658,2410,5511,2323,1793,3926,2975,4600,2060,2569
"MIIP",4300,4018,2923,2835,2728,4860,4645,3167,5000,2888,11152,1572,3989,3597,6221,2679,4705,4426,1281,6122,3942,2452,4622,5056,1627,2141,2177,3636,3357,4183,3597,1664,4275,3659,2685,4998
"MILR1",2,482,74,0,3,1,3,44,0,2,0,37,478,125,22,20,0,3,0,3,2,9,43,52,417,108,9,61,42,0,4,64,262,138,350,92
"MINK1",20720,28178,13694,16270,12446,34747,5398,20444,14389,22957,35122,11013,8703,18039,24743,18085,5913,30065,17443,17032,18733,26902,6492,26946,15516,45066,19283,24631,37042,21330,12123,15150,8381,31490,7404,19676
"MINPP1",2244,9793,4004,4183,2761,8481,4854,2531,11947,2869,5732,4565,2995,4085,4294,2263,3872,3370,2442,1676,7894,1717,4279,2711,6912,2959,4047,3832,2900,6293,4140,2259,2558,2784,2334,3517
"MIOS",5063,4032,1929,11227,1843,8122,8819,7747,10584,4469,3840,7091,2434,2496,9871,3613,7505,12153,3915,5777,7400,2966,13946,4645,3783,15972,5996,4523,3692,4501,16358,5764,5637,4587,4511,3551
"MIOX",13,0,2,23,221,62,39,87,12,25,22,9,6,12,17,3,48,11,4,86,48,4,4,12,21,78,150,21,10,4,2,92,3,603,1,6
"MIP",8,15,17,46,22,7,11,8,21,11,11,9,10,18,13,29,33,20,15,18,46,42,26,28,23,15,24,11,22,43,23,13,4,27,1,5
"MIPEP",3236,2119,1981,4596,1777,8921,3550,4655,1502,5082,2322,2452,2554,3075,1839,8393,2187,5514,2352,6276,17836,11283,3336,6267,1406,9798,3689,3694,6807,3644,4962,5060,2101,5882,1771,7033
"MIPOL1",484,2582,12,1939,508,1427,1546,3134,1193,1687,1222,1527,860,552,1329,806,2598,113,105,2704,1831,105,244,454,321,1642,7,1650,510,2274,2175,532,1270,5,908,1393
"MIR137HG",5,72,2614,43,13,7,2,1,3163,0,0,5178,255,24,6,6,13,2,0,1,6,10,3911,12,6,1,2,761,8,0,1,0,218,0,1759,6
"MIR155HG",6,1,455,7,4,221,12,6,10,185,2,91,19,26,6,3,10,5,16,644,96,1,276,8,82,34,1,47,19,38,2,27,6,800,9,163
"MIR17HG",725,83,312,431,136,201,212,374,2089,215,829,605,185,135,57,165,1345,148,156,410,1043,291,570,274,224,327,407,256,39,602,1006,104,583,159,366,549
"MIR181A1HG",38,6,14,44,8,0,10,0,0,0,0,44,0,7,6,31,71,6,3,0,45,0,3,32,4,42,16,5,52,0,79,20,6,8,18,39
"MIR181A2HG",137,150,19,78,0,1,23,4,0,41,42,43,33,153,49,14,56,0,24,30,142,15,35,27,9,217,146,115,138,3,50,3,23,13,263,28
"MIR205HG",4833,8,6,30,44,26,5,25,56,5,12,1,4,301,583,3,0,2,5,10,13,10,59,92,16,9718,13,4576,18402,18,26,2,19122,28,14,69
"MIR210HG",534,3805,2233,971,106,371,259,1517,978,182,144,83,299,455,66,254,268,123,129,38,293,357,644,166,186,2845,66,878,318,564,351,126,719,1379,1429,119
"MIR22HG",3892,9609,3846,135,577,1499,630,212,778,1173,15810,968,4069,7326,2837,3083,851,4183,3228,260,2537,920,1588,4640,2322,8943,743,1867,3636,1201,7444,2082,2823,605,3104,1170
"MIR31HG",40,284,2,81,23,63,7,66,0,17,0,17,33,200,18,18,0,2,12,0,711,835,69,147,1,0,51,141,951,2,736,13,196,10,148,0
"MIR4458HG",531,548,6,1706,589,516,796,1,3201,244,2862,452,1248,2204,527,451,1393,791,530,1274,991,5,6,4,1413,809,401,19,2217,1053,0,661,2463,1078,1513,2080
"MIR4500HG",9,16,0,0,4,0,0,0,91,0,0,334,24,22,0,0,218,2,0,0,0,0,0,0,0,102,45,89,10,0,42,20,99,0,0,0
"MIR497HG",51,74,73,436,20,37,25,27,52,17,46,6,28,40,17,33,49,49,27,28,37,39,25,33,65,76,63,49,8,91,16,17,37,33,31,37
"MIR503HG",103,202,2109,66,5,0,220,11,1509,1,816,239,1,845,93,0,294,14,2,3,4,7,5,8,731,58,2,10,35,107,2,1,215,20,504,73
"MIR600HG",3870,311,209,8415,671,1171,567,2013,1769,975,1301,2872,595,1417,415,986,787,703,601,1058,4094,621,401,975,458,3916,745,2006,1095,2980,604,431,566,1134,486,850
"MIR7-3HG",11,3,2,3454,9,2,3,2,5056,0,0,1,0,6,9,2,3,2,1,36,1,0,5,4,0,3,1,8,0,0,3,2,2,1,8,7
"MIS12",2228,8502,4484,4446,1442,2809,3794,2927,2394,1643,3115,855,3127,4581,7423,4135,3904,3163,2589,2120,4725,2335,1616,3483,2260,2196,1982,2870,3166,6075,5878,3849,2901,3811,3684,4702
"MIS18A",3497,3336,4322,3835,1474,6068,9649,6262,5122,3471,3983,1604,5405,4869,5371,3888,6928,4708,1750,6803,9057,3341,5462,5094,5971,3678,3966,3217,2132,8124,5018,2866,5083,7277,2326,8153
"MIS18A-AS1",16,11,4,37,41,13,9,10,21,8,9,50,16,35,24,31,26,23,4,16,47,16,13,16,29,36,25,22,3,29,28,10,13,26,20,13
"MIS18BP1",6208,15562,9937,9860,3260,3431,5824,6955,9431,8680,3167,7727,4682,6562,3917,8886,12000,6095,4084,8036,18330,11475,4695,6979,4693,5111,6295,12507,4940,9324,16270,5743,7804,3668,6628,9272
"MISP",6435,202,177,894,8254,36602,7831,13371,62,41875,86,1223,398,4333,5993,9564,52,29965,21930,21100,29810,51671,15771,39160,8565,3571,16174,12053,11528,111,25452,17111,8509,16112,7673,19555
"MITD1",2252,1619,1642,1639,1650,1658,2648,3658,2665,1947,2251,317,1552,2875,7046,3278,3059,2703,2557,3010,4874,2152,3512,1824,1439,2854,1733,3917,2565,3384,2204,1093,5486,2216,1371,2081
"MITF",253,1296,756,30,324,47,639,51,2712,46,19,6072,815,10525,2119,559,2401,13,1697,1959,545,14,76,73,1136,233,449,3566,825,1726,555,15,1320,125,909,451
"MIXL1",46,1,2,191,4,2,42,4,440,7,66,36,1,5,1,5,9,2,0,4,18,5,13,11,7,15,4,0,7,4,2,7,7,4,0,2
"MKI67",65013,85724,105987,51518,24763,96643,34109,43953,76196,44900,39646,73941,33496,51080,31271,58145,57152,72894,18126,57591,184320,59854,122292,102656,96154,14829,37393,27201,76422,89610,169655,78880,47110,72953,20765,106514
"MKKS",3602,4218,3578,7869,3306,9079,7179,12682,10781,4711,18349,2882,7175,8389,7643,14611,8411,14200,5623,7980,13543,6328,10628,5709,11612,8884,7482,15394,5252,10685,7086,10479,11238,9088,5986,4397
"MKLN1",6462,16125,5901,8331,7492,15996,5654,11232,5424,10226,11714,12589,8695,9929,11980,12623,9297,9402,7911,9115,10901,8272,10865,7257,13182,7973,7878,8276,3645,13551,11405,9691,6324,7195,3453,5038
"MKNK1",2079,3628,2357,1662,1212,4065,1504,4035,3261,2994,2757,2940,1467,5457,4031,5685,2491,3184,2194,3284,6373,2949,2724,4046,2359,6646,2189,4865,4478,2206,5077,2334,2511,5266,3482,2697
"MKNK1-AS1",20,23,29,31,4,41,10,65,49,45,11,55,6,68,35,55,22,21,26,25,120,41,20,27,32,137,36,71,14,22,82,21,17,47,12,4
"MKNK2",10676,13698,6179,15538,18806,49182,23284,15883,21788,19540,10068,7147,12337,27309,14724,8769,19956,14007,10273,15881,40298,32636,12045,11570,29250,16463,14163,50363,36746,14669,17699,5175,9646,18963,3534,19667
"MKRN1",9546,14223,6404,20836,6970,29777,8382,18092,8441,24937,14924,11368,8537,26639,20804,18879,7597,24668,13274,25318,30572,18048,11422,13445,7873,18075,16052,31018,16589,10777,12658,12366,9105,20570,9921,6513
"MKRN2",17645,6592,3484,4976,4323,5211,8384,6856,5716,10476,5892,2538,5691,5796,8389,6097,5573,5712,3240,4973,8656,3904,10561,6690,4596,8863,4284,5302,4605,5924,5898,5104,3700,2839,2616,8995
"MKRN3",1762,297,464,3487,429,13,2484,11,46,3,799,1453,1198,958,1624,4,1594,2,2,358,41,131,2,14,5,2858,2490,987,4,117,1933,804,1041,160,229,4
"MKS1",2178,2586,1570,3520,1275,1358,3504,3064,2987,2026,2796,1135,1493,1816,2246,1385,3195,1749,1105,3689,2607,1597,3799,1742,3899,3924,1978,2868,3381,2543,1346,1897,1383,2470,2302,2755
"MKX",61,88,247,9,19,5,1242,5,1,1,4,51,4,997,7,0,1337,7,12,8,24,6,765,1,2,86,3,7,234,11,6,0,142,1,1,47
"MLANA",43,153,9,72,66,105,28,164,98,92,29,326,30,46,17,94,95,41,178,43,385,37,82,48,28,96,70,67,5,67,73,41,13,74,18,2
"MLC1",51,5,30,13,12,2,14,6,60,6,4,6,37,91,1,5,24,7,4,3,15,8,16,83,18,48,8,7,238,9,22,77,13,4,1,1
"MLEC",31806,51490,38963,8882,34462,49599,22600,56397,37520,251993,85338,66334,84904,32797,11426,45242,19857,188539,39452,41088,89983,77913,60738,66666,29302,37148,37433,23210,38945,57024,71048,42350,24149,55072,28913,72269
"MLF1",2199,2882,3149,8,14,723,6,12,5794,9,3546,1218,3061,4639,24,7,9,3814,122,1303,11,828,677,14,1009,1197,0,4465,1586,9,18,3273,21,2,3187,8261
"MLF2",32562,31274,36362,26185,18331,36374,21800,29454,29949,23114,73650,10940,51638,30400,18840,29244,30346,37798,22222,13969,68087,22342,32997,66797,25002,26752,13093,20580,136019,73533,39522,29527,14763,27108,12474,47204
"MLH1",5046,12136,6960,4309,103,40,8965,4012,6315,3869,9239,3214,7344,7514,6016,9248,5543,7589,6559,6008,5007,4503,10831,8703,6157,9708,6369,7676,5417,2809,8300,7558,64,20,4082,10413
"MLH3",4740,7769,2368,4874,2091,4755,2682,8043,4193,4259,3683,3446,654,1747,2504,7644,122,2878,3641,6129,6122,8587,4602,2204,3709,4144,8342,3470,1620,2902,6716,3602,1044,5103,3647,5257
"MLIP",7,36,0,0,1,0,90,0,592,4,4,101,4,27,2,5,0,3,15,8,1,1,10,8,0,4,8,1,11,4557,2,0,2,0,7,2
"MLKL",429,5418,1286,109,3273,11,408,2781,109,2104,860,1186,2218,1245,357,817,9,2586,716,4819,11891,2713,5753,3064,6084,1658,2228,516,2736,922,3333,1973,2334,5787,1521,11199
"MLLT1",5944,6040,2760,9822,1556,6279,4137,5791,7879,3726,1249,3793,2892,3376,7213,3436,9336,4188,2459,4575,4151,3400,5745,6126,4631,3997,3282,5676,7203,7819,5888,2066,1323,4765,2905,3985
"MLLT10",6967,6594,6528,6837,6498,9936,10591,8547,24884,5580,15049,9779,6489,4316,7625,3364,10341,3895,3442,7132,11795,5353,7606,5199,11021,6851,6833,7076,4887,11155,8793,4514,5714,6142,2331,6133
"MLLT11",3063,1310,1613,4951,205,321,6026,416,8278,196,1034,1794,4092,669,883,260,9340,341,333,330,2658,411,400,395,5906,8045,481,788,5586,476,623,81,558,264,474,1309
"MLLT3",380,3953,653,4196,2748,28,3220,2920,6394,1207,75,4565,133,1347,128,1831,10751,1358,12980,4149,8569,77,29,2221,622,926,2952,688,901,3605,6516,472,269,3273,104,580
"MLLT6",17186,10641,8992,65850,23876,18018,26836,61784,29135,32824,1366,19418,8105,24065,25768,39111,21834,17511,28973,37901,205778,24574,29656,14283,26662,33270,28764,123415,28977,30352,16044,7802,6404,28077,7316,31588
"MLN",0,0,1,4,0,0,0,0,3,0,73,0,0,0,0,1,2,0,0,10,0,0,1,0,0,1,1,0,0,0,0,2,1,0,0,1
"MLNR",50,1,2,5,3,3,6,2,10,1,7,9,0,13,7,1,5,0,0,1,4,4,9,2,17,3,2,0,1,0,2,0,1,1,1,14
"MLPH",46,6422,9942,1418,179,8187,78,36218,8530,11579,31,35,7684,2307,12,9144,20,19984,7525,27238,11117,11876,49,7245,3141,80,46,11754,216,1514,16195,5132,7821,9175,3727,12352
"MLST8",4941,4530,3544,8654,3553,6633,9608,8889,10779,3004,7936,4282,4577,3669,8518,4080,10788,12075,5375,7157,13772,7217,10808,6583,9741,8567,4264,9404,10672,13470,6762,4603,4121,11161,4093,3802
"MLX",3922,8491,3592,5239,4011,10076,5340,14058,11037,11558,5122,3362,6891,9305,7201,8084,9951,8431,10047,8047,10228,4401,24863,8345,11949,8065,5112,6303,7338,10157,7267,10394,5312,9211,2172,9613
"MLXIP",13605,13597,10675,15291,13453,23590,21764,24877,11364,88699,8060,27061,5863,9176,13147,15388,8294,19769,11336,39902,32553,11543,17227,32664,7138,11846,10326,11514,18605,16490,20814,12261,5371,19738,6712,30091
"MLXIPL",990,11,5,7988,9618,9505,237,8787,7843,15908,241,273,150,617,102,4669,106,4785,6268,5787,4444,2929,150,1079,186,1983,24937,566,163,334,397,4555,18,11120,128,1881
"MLYCD",1249,762,13,578,795,2997,305,10,1111,1353,3305,609,699,1485,714,961,964,1244,1242,1207,1998,1485,1537,142,2906,2475,6,1309,3776,907,4,1997,390,1904,509,964
"MMAA",542,1286,738,384,519,1172,197,1166,462,1100,662,789,202,1201,1032,1072,347,860,1109,1281,1557,563,1340,672,185,702,471,981,262,635,401,409,685,627,259,545
"MMAB",5418,2196,2227,1179,4417,3829,5489,4083,10791,2994,5559,717,1924,2793,2999,2716,2747,5888,3529,4135,6561,1306,3448,4308,1670,2990,829,2529,5425,1996,1541,3303,2190,7489,3335,1997
"MMACHC",1442,2584,1499,2411,861,2332,1577,2332,2449,1761,979,2038,1328,2522,1004,4415,5872,1317,604,1740,3862,1790,1987,1138,539,1950,869,1553,817,25,1092,859,988,5822,1227,3282
"MMADHC",8142,23924,9256,8277,6234,16217,19420,10415,10449,7112,11872,3578,12467,13493,32009,16773,10812,14846,11233,12199,22384,7125,9117,14568,16768,14668,6690,19060,19024,20805,17602,11386,23081,11856,7456,15102
"MMD",661,2018,2192,3528,598,2192,1431,2445,1272,1123,21819,1107,2258,26552,2058,1150,613,1085,567,2103,2391,1194,526,799,23884,1075,5331,2612,380,1664,5151,1336,2413,3939,1542,1120
"MMD2",4,2,3,498,0,3,2,2,7,0,4,3,2,4,3,2,1,2,1,0,3,0,4,2,5,4,0,4,2,0,1,2,1,1,1,2
"MME",1296,46665,23980,20915,160,34,66446,28,56,4286,13,132,33,605,161,21,1971,526,10410,34,96,208,38,68,1265,10440,59,132,23083,31,57,35,13060,7,240,49
"MMEL1",52,0,0,10,153,55,3,70,289,26,16,3,4,67,9,40,53,67,182,150,132,6,6,29,10,155,3,36,13,9,4,24,2,58,2,3
